"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"24/06/2022","1,827.00","1,822.60","1,829.00","1,814.60","0.57K","0.04%"
"23/06/2022","1,826.30","1,835.00","1,842.90","1,822.40","0.23K","-0.48%"
"22/06/2022","1,835.20","1,829.30","1,845.10","1,822.30","0.53K","-0.01%"
"21/06/2022","1,835.40","1,834.70","1,842.40","1,831.00","0.42K","-0.18%"
"20/06/2022","1,838.80","1,840.60","1,848.40","1,830.70","176.30K","0.13%"
"17/06/2022","1,836.50","1,851.80","1,851.80","1,832.00","0.48K","-0.55%"
"16/06/2022","1,846.60","1,831.90","1,855.80","1,815.80","0.98K","1.67%"
"15/06/2022","1,816.30","1,806.60","1,840.00","1,805.60","1.03K","0.32%"
"14/06/2022","1,810.50","1,810.70","1,830.00","1,803.00","1.37K","-1.02%"
"13/06/2022","1,829.20","1,876.40","1,879.50","1,818.60","0.73K","-2.32%"
"10/06/2022","1,872.70","1,847.50","1,876.60","1,824.10","1.15K","1.22%"
"09/06/2022","1,850.10","1,853.20","1,853.80","1,839.00","0.34K","-0.19%"
"08/06/2022","1,853.60","1,852.00","1,859.10","1,844.40","0.17K","0.24%"
"07/06/2022","1,849.20","1,841.10","1,855.00","1,836.00","0.62K","0.46%"
"06/06/2022","1,840.80","1,849.90","1,857.50","1,840.30","0.31K","-0.35%"
"03/06/2022","1,847.30","1,869.80","1,875.00","1,847.20","0.57K","-1.13%"
"02/06/2022","1,868.40","1,846.80","1,870.70","1,844.00","0.70K","1.22%"
"01/06/2022","1,845.80","1,837.10","1,850.00","1,827.90","1.23K","0.03%"
"31/05/2022","1,845.20","1,852.60","1,863.70","1,834.70","1.81K","-0.17%"
"30/05/2022","1,848.40","1,856.50","1,867.90","1,837.60","201.80K","-0.30%"
"27/05/2022","1,854.00","1,852.00","1,862.70","1,849.70","1.10K","0.35%"
"26/05/2022","1,847.60","1,851.80","1,852.80","1,836.30","123.36K","0.07%"
"25/05/2022","1,846.30","1,865.40","1,866.70","1,838.70","182.82K","-1.02%"
"24/05/2022","1,865.40","1,852.30","1,869.10","1,847.60","174.76K","0.95%"
"23/05/2022","1,847.80","1,844.40","1,864.30","1,843.30","163.27K","0.31%"
"20/05/2022","1,842.10","1,839.60","1,847.80","1,830.60","143.05K","0.05%"
"19/05/2022","1,841.20","1,815.10","1,848.20","1,808.40","175.24K","1.39%"
"18/05/2022","1,815.90","1,813.20","1,822.90","1,805.00","150.35K","-0.16%"
"17/05/2022","1,818.90","1,823.90","1,834.80","1,811.00","137.29K","0.27%"
"16/05/2022","1,814.00","1,809.40","1,826.00","1,785.00","159.49K","0.32%"
"13/05/2022","1,808.20","1,821.40","1,827.60","1,797.20","179.48K","-0.90%"
"12/05/2022","1,824.60","1,852.30","1,858.80","1,820.10","255.61K","-1.57%"
"11/05/2022","1,853.70","1,836.60","1,857.80","1,830.60","243.56K","0.69%"
"10/05/2022","1,841.00","1,853.90","1,864.70","1,834.50","260.81K","-0.95%"
"09/05/2022","1,858.60","1,883.70","1,885.60","1,851.00","218.82K","-1.29%"
"06/05/2022","1,882.80","1,877.50","1,894.00","1,865.00","194.28K","0.38%"
"05/05/2022","1,875.70","1,884.10","1,910.70","1,872.30","218.39K","0.37%"
"04/05/2022","1,868.80","1,868.30","1,892.00","1,861.10","161.48K","-0.10%"
"03/05/2022","1,870.60","1,863.60","1,878.40","1,849.70","167.43K","0.38%"
"02/05/2022","1,863.60","1,896.20","1,900.40","1,853.40","193.83K","-2.52%"
"29/04/2022","1,911.70","1,895.80","1,921.30","1,893.50","177.14K","1.08%"
"28/04/2022","1,891.30","1,886.80","1,897.80","1,870.90","170.91K","0.29%"
